#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-06-22 00:04:27
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status time-taken
2010-06-22 00:04:27 134.36.36.75 GET / - 80 - 208.80.193.35 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+5.1;+{4150D290-0974-7F1D-5AD5-E5FC833FF1EC};+.NET+CLR+2.0.50727;+.NET+CLR+1.1.4322;+InfoPath.1) 200 0 0 166
2010-06-22 00:05:27 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=450&pid=9&prcid=26&ppid=1502 80 - 77.88.43.25 Yandex/1.01.001+(compatible;+Win16;+I) 200 0 0 541
2010-06-22 00:07:06 134.36.36.75 GET /Darwin/Plant.aspx ix=483&pid=1504&prcid=4&ppid=1504 80 - 216.129.119.45 Mozilla/5.0+(Twiceler-0.9+http://www.cuil.com/twiceler/robot.html) 200 0 0 603
2010-06-22 00:08:11 134.36.36.75 GET /Darwin/ImageCache/cache_szehhya_1857.jpeg - 80 - 66.249.71.14 Googlebot-Image/1.0 304 0 0 102
2010-06-22 00:13:45 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=734&pid=13&prcid=26&ppid=1502 80 - 77.88.43.25 Yandex/1.01.001+(compatible;+Win16;+I) 200 0 0 541
2010-06-22 00:14:01 134.36.36.75 GET /robots.txt - 80 - 94.100.181.99 Mail.Ru/1.0 404 0 2 108
2010-06-22 00:14:01 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=633&pid=18&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 309
2010-06-22 00:14:03 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=64&pid=1&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 302
2010-06-22 00:14:03 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=558&pid=9&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 302
2010-06-22 00:14:03 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=123&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 293
2010-06-22 00:14:04 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=178&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 305
2010-06-22 00:14:04 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=459&pid=18&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 290
2010-06-22 00:14:04 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=60&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 297
2010-06-22 00:14:05 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=55&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 290
2010-06-22 00:14:05 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=887&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 290
2010-06-22 00:14:05 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=265&pid=15&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 301
2010-06-22 00:14:08 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=23&pid=1&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 304
2010-06-22 00:14:08 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=768&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 294
2010-06-22 00:14:08 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=818&pid=14&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 300
2010-06-22 00:14:09 134.36.36.75 GET /CMSShared/Document.aspx p=25&ix=5&pid=100004&prcid=4&ppid=1506 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 200
2010-06-22 00:14:09 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=275&pid=7&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 339
2010-06-22 00:14:10 134.36.36.75 GET /Darwin/Plant.aspx p=25&ix=14&pid=3&prcid=26&ppid=1502 80 - 94.100.181.99 Mail.Ru/1.0 200 0 0 298
